# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
349,PB46B,-,5,BDQ42,PCLKC5_2/ADC_CN13,Comp_OF_PB46A,TRUE,W12,R10
350,PB48A,-,5,BDQ42,ADC_CP14,True_OF_PB48B,TRUE,N13,-
354,PB48B,-,5,BDQ42,ADC_CN14,Comp_OF_PB48A,TRUE,N12,-
356,PB50A,-,5,BDQ54,COMP3IP,True_OF_PB50B,TRUE,U13,T11
359,PB50B,-,5,BDQ54,COMP3IN,Comp_OF_PB50A,TRUE,T13,R11
360,PB52A,-,5,BDQ54,ADC_CP11,True_OF_PB52B,TRUE,P13,M11
363,PB52B,-,5,BDQ54,ADC_CN11,Comp_OF_PB52A,TRUE,R13,L11
365,PB54A,-,5,BDQS54,ADC_CP12,True_OF_PB54B,TRUE,Y13,T12
367,PB54B,-,5,BDQSN54,ADC_CN12,Comp_OF_PB54A,TRUE,W13,R12
368,PB56A,-,5,BDQ54,ADC_CP15,True_OF_PB56B,TRUE,V13,-
372,PB58A,-,5,BDQ54,PCLKT5_3/LRC_GPLL0T_MFGOUT1,True_OF_PB58B,TRUE,T14,P11
373,PB56B,-,5,BDQ54,ADC_CN15,Comp_OF_PB56A,TRUE,U14,-
379,PB58B,-,5,BDQ54,PCLKC5_3/LRC_GPLL0T_MFGOUT2,Comp_OF_PB58A,TRUE,R14,P12
380,PB60A,-,5,BDQ54,LRC_GPLL0T_IN/ATB_FORCE,True_OF_PB60B,TRUE,Y14,M12
386,PB60B,-,5,BDQ54,LRC_GPLL0C_IN/VREF5_2/ATB_SENSE,Comp_OF_PB60A,TRUE,W14,L12
400,ADC_REFP0,-,70,-,-,-,-,W15,R16
401,ADC_REFP1,-,70,-,-,-,-,Y15,T15
403,ADC_DP0,-,70,-,-,True_OF_ADC_DN0,-,Y16,R14
404,ADC_DP1,-,70,-,-,True_OF_ADC_DN1,-,Y18,T14
407,ADC_DN0,-,70,-,-,Comp_OF_ADC_DP0,-,Y17,R15
408,ADC_DN1,-,70,-,-,Comp_OF_ADC_DP1,-,Y19,T13
421,PR49A,-,4,-,EIO,True_OF_PR49B,-,V20,-
422,PR49B,-,4,-,EIO,Comp_OF_PR49A,-,V19,-
426,PR48A,-,4,-,EIO,True_OF_PR48B,-,U16,-
427,PR48B,-,4,-,EIO,Comp_OF_PR48A,-,U15,-
430,PR47A,-,4,-,EIO,True_OF_PR47B,-,U20,N14
431,PR47B,-,4,-,EIO,Comp_OF_PR47A,-,U19,P14
436,PR46A,-,4,-,PCLKT4_1/EIO,True_OF_PR46B,-,T16,P16
437,PR46B,-,4,-,EIO,Comp_OF_PR46A,-,T15,P15
443,PR45A,-,4,-,PCLKT4_0/EIO,True_OF_PR45B,-,T18,N16
444,PR45B,-,4,-,EIO,Comp_OF_PR45A,-,T17,N15
449,PR44A,-,4,-,EIO,True_OF_PR44B,-,T20,M14
450,PR44B,-,4,-,EIO,Comp_OF_PR44A,-,T19,M13
456,PR43A,-,4,-,EIO,True_OF_PR43B,-,R16,M16
457,PR43B,-,4,-,EIO,Comp_OF_PR43A,-,R15,M15
460,PR42A,-,4,-,EIO,True_OF_PR42B,-,R20,L14
461,PR42B,-,4,-,EIO,Comp_OF_PR42A,-,R19,L13
467,PR41A,-,4,-,EIO,True_OF_PR41B,-,P15,-
468,PR41B,-,4,-,EIO,Comp_OF_PR41A,-,P14,-
470,PR40A,-,4,-,EIO,True_OF_PR40B,-,P17,-
471,PR40B,-,4,-,EIO,Comp_OF_PR40A,-,P16,-
474,PR39A,-,4,-,EIO,True_OF_PR39B,-,P19,-
475,PR39B,-,4,-,EIO,Comp_OF_PR39A,-,P18,-
480,PR38A,-,4,-,EIO,True_OF_PR38B,-,N20,-
481,PR38B,-,4,-,EIO,Comp_OF_PR38A,-,P20,-
484,PR37A,-,3,-,PCLKT3_1/EIO,True_OF_PR37B,-,N15,L16
485,PR37B,-,3,-,EIO,Comp_OF_PR37A,-,N14,L15
490,PR36A,-,3,-,EIO,True_OF_PR36B,-,N17,K10
491,PR36B,-,3,-,EIO,Comp_OF_PR36A,-,N16,K9
494,PR35A,-,3,-,EIO,True_OF_PR35B,-,N19,K12
495,PR35B,-,3,-,EIO,Comp_OF_PR35A,-,N18,K11
497,PR34A,-,3,-,EIO,True_OF_PR34B,-,M12,K16
498,PR34B,-,3,-,EIO,Comp_OF_PR34A,-,M11,K15
503,PR33A,-,3,-,EIO,True_OF_PR33B,-,M14,-
504,PR33B,-,3,-,EIO,Comp_OF_PR33A,-,M13,-
509,PR32A,-,3,-,EIO,True_OF_PR32B,-,M18,-
510,PR32B,-,3,-,EIO,Comp_OF_PR32A,-,M17,-
514,PR31A,-,3,-,EIO,True_OF_PR31B,-,M20,-
515,PR31B,-,3,-,EIO,Comp_OF_PR31A,-,M19,-
518,PR30A,-,3,-,EIO,True_OF_PR30B,-,K12,-
519,PR30B,-,3,-,EIO,Comp_OF_PR30A,-,L12,-
529,PR26A,-,3,-,EIO,True_OF_PR26B,-,L14,J11
530,PR26B,-,3,-,EIO,Comp_OF_PR26A,-,L13,J10
533,PR25A,-,3,-,EIO,True_OF_PR25B,-,L16,J13
534,PR25B,-,3,-,EIO,Comp_OF_PR25A,-,L15,J12
538,PR24A,-,3,-,EIO,True_OF_PR24B,-,L20,J15
539,PR24B,-,3,-,EIO,Comp_OF_PR24A,-,L19,J14
542,PR23A,-,3,-,PCLKT3_0/EIO,True_OF_PR23B,-,K19,H15
543,PR23B,-,3,-,EIO,Comp_OF_PR23A,-,K20,J16
546,PR22A,-,3,-,EIO,True_OF_PR22B,-,K17,-
547,PR22B,-,3,-,EIO,Comp_OF_PR22A,-,K18,-
550,PR21A,-,3,-,EIO,True_OF_PR21B,-,K15,-
551,PR21B,-,3,-,EIO,Comp_OF_PR21A,-,K16,-
556,PR20A,-,3,-,EIO,True_OF_PR20B,-,K13,-
557,PR20B,-,3,-,EIO,Comp_OF_PR20A,-,K14,-
561,PR18A,-,3,-,EIO,True_OF_PR18B,-,J19,-
562,PR18B,-,3,-,EIO,Comp_OF_PR18A,-,J20,-
568,PR17A,-,2,-,EIO,True_OF_PR17B,-,J17,-
569,PR17B,-,2,-,EIO,Comp_OF_PR17A,-,J18,-
573,PR16A,-,2,-,EIO,True_OF_PR16B,-,J15,-
574,PR16B,-,2,-,EIO,Comp_OF_PR16A,-,J16,-
579,PR15A,-,2,-,EIO,True_OF_PR15B,-,J13,-
580,PR15B,-,2,-,EIO,Comp_OF_PR15A,-,J14,-
582,PR14A,-,2,-,EIO,True_OF_PR14B,-,H13,-
583,PR14B,-,2,-,EIO,Comp_OF_PR14A,-,J12,-
588,PR13A,-,2,-,EIO,True_OF_PR13B,-,H19,H13
589,PR13B,-,2,-,EIO,Comp_OF_PR13A,-,H20,H14
594,PR12A,-,2,-,EIO,True_OF_PR12B,-,H15,H11
595,PR12B,-,2,-,EIO,Comp_OF_PR12A,-,H16,H12
599,PR11A,-,2,-,SD14/S2_IN,True_OF_PR11B,-,G14,H9
600,PR11B,-,2,-,SD15/S2_OUT,Comp_OF_PR11A,-,H14,H10
603,PR10A,-,2,-,SD12/S1_IN,True_OF_PR10B,-,F20,G16
604,PR10B,-,2,-,SD13/S1_OUT,Comp_OF_PR10A,-,G20,H16
615,PR9A,-,2,-,SD9/S0_IN,True_OF_PR9B,-,G18,G12
616,PR9B,-,2,-,SD8/S0_OUT,Comp_OF_PR9A,-,G19,G13
